Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
Narsingi,Apartment,4,3721,155.12,0.04,2001,Furnished,20,7,24,4,5,High,No,Yes,"Gym, Garden",West,Owner,Ready_to_Move
Kokapet,Independent House,3,2205,389.49,0.18,1997,Furnished,15,20,28,6,9,Medium,Yes,Yes,"Pool, Playground",West,Owner,Under_Construction
Somajiguda,Villa,3,4450,238.75,0.05,2001,Semi-furnished,16,29,24,1,9,Medium,No,Yes,"Clubhouse, Playground, Pool",West,Owner,Ready_to_Move
Raidurg,Apartment,4,807,397.08,0.49,2006,Furnished,20,13,19,10,8,Low,No,Yes,"Garden, Playground, Clubhouse, Gym",South,Broker,Ready_to_Move
Film Nagar,Independent House,2,1978,136.35,0.07,2023,Semi-furnished,13,24,2,9,5,High,Yes,No,Playground,West,Broker,Under_Construction
Banjara Hills,Villa,1,1651,229.99,0.14,2006,Furnished,5,11,19,5,7,Low,No,Yes,Gym,West,Broker,Under_Construction
Financial District,Apartment,5,2058,460.16,0.22,1994,Unfurnished,3,30,31,8,7,Medium,Yes,No,"Gym, Clubhouse, Garden, Playground, Pool",South,Broker,Under_Construction
Narsingi,Villa,4,2212,488.31,0.22,2022,Furnished,7,15,3,6,3,Medium,No,Yes,Clubhouse,South,Owner,Ready_to_Move
Financial District,Villa,4,2334,91.47,0.04,2014,Semi-furnished,2,17,11,3,1,High,Yes,Yes,"Gym, Pool, Garden, Playground",West,Builder,Ready_to_Move
Banjara Hills,Villa,1,4008,78.01,0.02,2005,Semi-furnished,12,23,20,10,5,Medium,No,No,"Gym, Pool",West,Broker,Ready_to_Move
Somajiguda,Villa,1,572,167.61,0.29,1990,Semi-furnished,20,28,35,6,6,High,No,No,Clubhouse,East,Broker,Under_Construction
Kavuri Hills,Apartment,3,2256,396.14,0.18,2009,Furnished,18,16,16,8,10,High,Yes,No,"Gym, Garden, Playground, Clubhouse, Pool",East,Builder,Ready_to_Move
Financial District,Apartment,2,823,418.15,0.51,1994,Semi-furnished,12,18,31,9,9,High,Yes,No,"Gym, Garden",East,Owner,Ready_to_Move
Banjara Hills,Apartment,1,3371,53.53,0.02,1997,Furnished,19,21,28,10,2,Medium,No,No,"Gym, Clubhouse, Playground, Garden",East,Broker,Ready_to_Move
Jubilee Hills,Villa,1,550,473.66,0.86,2009,Furnished,3,7,16,7,1,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Builder,Ready_to_Move
Raidurg,Independent House,1,850,484.89,0.57,2012,Furnished,13,23,13,3,6,Medium,No,No,Clubhouse,West,Broker,Ready_to_Move
Somajiguda,Apartment,2,2683,377.8,0.14,1998,Furnished,0,12,27,9,2,Medium,Yes,Yes,"Clubhouse, Garden, Pool, Gym, Playground",North,Builder,Ready_to_Move
Khanapur,Villa,2,4124,448.05,0.11,2010,Furnished,8,9,15,3,4,High,No,Yes,Clubhouse,West,Builder,Under_Construction
Kavuri Hills,Independent House,2,4832,35.8,0.01,2006,Unfurnished,17,6,19,1,8,Low,Yes,No,Playground,North,Broker,Ready_to_Move
Financial District,Villa,5,884,157.66,0.18,1991,Semi-furnished,2,28,34,9,9,Medium,Yes,No,"Playground, Gym, Clubhouse",East,Broker,Under_Construction
Jubilee Hills,Independent House,3,3348,388.08,0.12,2008,Unfurnished,12,4,17,4,10,Medium,No,Yes,Pool,South,Owner,Ready_to_Move
Film Nagar,Villa,2,1949,226.55,0.12,2008,Furnished,1,11,17,7,8,Medium,No,Yes,Garden,South,Owner,Under_Construction
Jubilee Hills,Villa,3,1771,367.18,0.21,1993,Furnished,22,27,32,4,3,Medium,Yes,No,"Clubhouse, Garden, Pool",West,Owner,Ready_to_Move
Somajiguda,Independent House,4,2106,107.49,0.05,2007,Furnished,19,14,18,7,9,High,No,Yes,"Gym, Garden",North,Builder,Under_Construction
Gachibowli,Villa,2,873,288.29,0.33,2011,Unfurnished,13,18,14,1,1,Low,Yes,No,"Playground, Gym, Garden, Pool, Clubhouse",North,Owner,Ready_to_Move
Raidurg,Independent House,2,1592,192.07,0.12,1992,Unfurnished,24,30,33,10,4,Low,No,No,Playground,South,Owner,Under_Construction
Raidurg,Apartment,1,1189,295.5,0.25,2002,Unfurnished,29,2,23,10,9,Medium,Yes,No,Playground,West,Broker,Ready_to_Move
Narsingi,Villa,1,2097,272.67,0.13,2006,Unfurnished,11,10,19,2,10,Medium,Yes,No,"Clubhouse, Pool, Playground, Garden",East,Owner,Under_Construction
Begumpet,Villa,2,3827,368.13,0.1,1995,Furnished,0,27,30,7,5,Medium,Yes,Yes,"Playground, Pool, Gym, Garden, Clubhouse",North,Owner,Ready_to_Move
Somajiguda,Independent House,1,3528,83.17,0.02,2016,Unfurnished,7,1,9,9,1,Medium,No,Yes,"Playground, Clubhouse, Garden, Pool",East,Broker,Ready_to_Move
Madhapur,Apartment,3,1739,120.43,0.07,1995,Semi-furnished,13,21,30,2,6,High,Yes,Yes,Gym,North,Builder,Ready_to_Move
Jubilee Hills,Villa,3,2809,170.31,0.06,1996,Furnished,4,28,29,3,4,High,Yes,No,Playground,North,Broker,Under_Construction
Hitech City,Independent House,5,3681,405.59,0.11,2023,Semi-furnished,12,19,2,5,6,High,No,Yes,"Playground, Garden",East,Broker,Ready_to_Move
Begumpet,Apartment,5,4141,423.11,0.1,1996,Semi-furnished,15,30,29,9,2,High,No,No,"Gym, Pool, Clubhouse, Garden",West,Owner,Ready_to_Move
Banjara Hills,Villa,1,2048,40.19,0.02,2022,Semi-furnished,20,6,3,4,7,Medium,Yes,Yes,"Playground, Clubhouse, Gym, Pool, Garden",South,Broker,Under_Construction
Financial District,Villa,5,753,495.7,0.66,2002,Semi-furnished,9,28,23,9,2,Medium,Yes,No,Playground,West,Owner,Ready_to_Move
Begumpet,Independent House,5,2299,155.41,0.07,2004,Furnished,3,30,21,5,1,High,Yes,No,"Gym, Garden, Playground",North,Broker,Under_Construction
Somajiguda,Apartment,2,4904,263.34,0.05,2002,Furnished,18,19,23,1,5,High,Yes,No,Pool,North,Builder,Under_Construction
Kavuri Hills,Villa,5,4405,128.57,0.03,2002,Semi-furnished,25,11,23,7,1,High,No,Yes,Pool,South,Owner,Under_Construction
Begumpet,Independent House,3,2939,39.45,0.01,2003,Furnished,4,18,22,9,8,High,No,No,"Garden, Clubhouse, Pool",South,Owner,Ready_to_Move
Financial District,Independent House,2,1416,224.48,0.16,2005,Semi-furnished,17,5,20,10,2,High,No,No,"Garden, Gym, Playground",North,Broker,Ready_to_Move
Film Nagar,Villa,3,3011,348.8,0.12,2018,Unfurnished,23,22,7,4,1,High,No,Yes,"Pool, Gym",South,Builder,Ready_to_Move
Madhapur,Apartment,4,1922,111.2,0.06,2022,Furnished,4,20,3,10,2,High,No,Yes,Clubhouse,East,Owner,Ready_to_Move
Gachibowli,Apartment,2,1678,288.51,0.17,2010,Furnished,25,30,15,1,8,Low,Yes,No,Garden,North,Owner,Under_Construction
Nanakramguda,Independent House,4,3586,351.79,0.1,1996,Furnished,4,14,29,6,7,Low,Yes,No,"Garden, Clubhouse, Gym, Playground, Pool",South,Builder,Under_Construction
Narsingi,Apartment,1,701,117.3,0.17,2021,Semi-furnished,6,18,4,6,2,Medium,No,Yes,"Playground, Garden, Pool",South,Owner,Under_Construction
Nanakramguda,Villa,2,2949,27.11,0.01,1990,Furnished,10,13,35,7,3,Low,Yes,No,"Pool, Garden",South,Owner,Ready_to_Move
Begumpet,Independent House,4,4230,392.68,0.09,2007,Unfurnished,10,25,18,8,10,Low,No,No,"Gym, Clubhouse",South,Broker,Under_Construction
Film Nagar,Independent House,2,754,362.58,0.48,2013,Unfurnished,2,3,12,9,8,High,Yes,No,"Garden, Pool",East,Builder,Under_Construction
Film Nagar,Villa,2,2011,106.64,0.05,2006,Unfurnished,13,25,19,9,9,High,Yes,Yes,"Garden, Gym",North,Builder,Under_Construction
Jubilee Hills,Independent House,2,2924,182.55,0.06,2019,Furnished,29,11,6,2,9,High,No,Yes,"Garden, Clubhouse",West,Owner,Under_Construction
Banjara Hills,Independent House,2,3124,32.8,0.01,2016,Unfurnished,4,25,9,9,4,Low,No,No,Clubhouse,East,Broker,Under_Construction
Financial District,Apartment,5,4546,236.94,0.05,2014,Semi-furnished,21,21,11,5,8,High,No,No,"Gym, Pool, Garden, Clubhouse, Playground",East,Broker,Under_Construction
Hitech City,Apartment,3,547,368.56,0.67,2000,Furnished,22,26,25,9,3,High,No,Yes,Pool,East,Owner,Under_Construction
Hitech City,Independent House,2,4160,443.9,0.11,1997,Semi-furnished,24,11,28,4,6,Medium,No,No,"Garden, Playground, Gym",West,Broker,Under_Construction
Kavuri Hills,Apartment,1,827,223.81,0.27,2006,Semi-furnished,28,4,19,2,3,Medium,No,No,"Clubhouse, Gym, Playground, Garden, Pool",North,Broker,Under_Construction
Kokapet,Apartment,1,785,224.34,0.29,2023,Semi-furnished,10,14,2,10,10,Low,Yes,Yes,"Pool, Clubhouse, Playground, Garden",North,Owner,Under_Construction
Financial District,Apartment,4,4415,154.43,0.03,2001,Semi-furnished,14,19,24,7,10,Low,Yes,No,"Garden, Gym, Clubhouse, Playground, Pool",North,Owner,Under_Construction
Film Nagar,Apartment,2,3518,214.08,0.06,2020,Unfurnished,24,20,5,10,2,Low,No,Yes,"Pool, Clubhouse, Playground, Gym, Garden",West,Owner,Under_Construction
Gachibowli,Villa,4,1041,451.5,0.43,2005,Semi-furnished,15,8,20,10,8,Medium,No,Yes,"Gym, Playground, Clubhouse, Garden",East,Owner,Ready_to_Move
Kokapet,Villa,1,3918,19.82,0.01,1997,Semi-furnished,14,29,28,4,1,Low,No,No,"Playground, Clubhouse, Gym",East,Builder,Ready_to_Move
Kokapet,Independent House,2,1939,225.1,0.12,1998,Semi-furnished,9,12,27,2,7,High,No,No,"Garden, Gym, Clubhouse",West,Builder,Under_Construction
Narsingi,Independent House,2,3763,467.34,0.12,2015,Semi-furnished,29,3,10,10,3,High,No,Yes,"Garden, Gym",West,Broker,Under_Construction
Somajiguda,Independent House,5,1034,304.26,0.29,2007,Unfurnished,30,24,18,4,1,Low,No,No,"Clubhouse, Pool, Gym, Playground, Garden",South,Owner,Ready_to_Move
Hitech City,Villa,3,691,11.83,0.02,2017,Furnished,16,11,8,1,9,High,Yes,No,"Clubhouse, Gym, Pool, Playground, Garden",South,Broker,Ready_to_Move
Narsingi,Independent House,1,3900,125.78,0.03,2007,Unfurnished,30,16,18,10,5,Medium,Yes,No,"Gym, Playground, Pool, Garden",West,Broker,Under_Construction
Khanapur,Independent House,5,1763,91.18,0.05,2004,Semi-furnished,22,17,21,5,8,High,Yes,No,"Pool, Clubhouse, Playground, Gym",East,Broker,Ready_to_Move
Madhapur,Independent House,2,3532,228.84,0.06,2015,Furnished,28,5,10,4,7,Low,Yes,Yes,"Pool, Clubhouse",West,Broker,Under_Construction
Somajiguda,Independent House,2,1905,409.26,0.21,2001,Unfurnished,23,22,24,4,2,Medium,Yes,Yes,"Gym, Clubhouse",East,Builder,Under_Construction
Raidurg,Villa,3,3438,461.48,0.13,2009,Furnished,13,3,16,6,3,Medium,Yes,No,"Clubhouse, Playground, Gym, Garden",West,Owner,Under_Construction
Gachibowli,Villa,5,3458,189.58,0.05,1991,Unfurnished,12,19,34,2,1,High,Yes,No,Garden,North,Owner,Under_Construction
Financial District,Apartment,4,2894,216.82,0.07,1999,Furnished,29,28,26,5,9,Low,No,No,"Playground, Gym, Clubhouse, Garden",North,Builder,Ready_to_Move
Gachibowli,Independent House,5,794,108.07,0.14,2017,Semi-furnished,30,27,8,3,4,Medium,No,Yes,"Gym, Playground, Clubhouse, Garden, Pool",West,Builder,Under_Construction
Somajiguda,Independent House,3,1854,82.46,0.04,2000,Unfurnished,5,12,25,6,2,High,No,No,Garden,South,Builder,Ready_to_Move
Madhapur,Villa,1,2843,53.08,0.02,2000,Furnished,23,21,25,1,10,Medium,No,No,"Garden, Clubhouse, Playground, Gym",North,Owner,Under_Construction
Kokapet,Apartment,4,2029,83.85,0.04,1993,Semi-furnished,21,23,32,3,5,Low,No,Yes,"Playground, Clubhouse, Pool",North,Owner,Under_Construction
Raidurg,Independent House,5,3347,178.94,0.05,2009,Unfurnished,2,6,16,3,8,High,Yes,Yes,Gym,West,Broker,Under_Construction
Begumpet,Independent House,2,3799,442.28,0.12,1996,Furnished,17,15,29,9,2,Low,No,No,"Playground, Gym, Pool, Garden, Clubhouse",East,Broker,Under_Construction
Film Nagar,Apartment,4,597,272.65,0.46,2019,Furnished,6,13,6,1,6,Medium,No,No,Playground,South,Owner,Ready_to_Move
Nanakramguda,Apartment,5,4431,486.93,0.11,2001,Semi-furnished,21,19,24,8,10,Low,No,Yes,"Garden, Pool, Gym",North,Broker,Ready_to_Move
Narsingi,Villa,3,3058,331.14,0.11,2013,Semi-furnished,28,10,12,1,8,Low,No,Yes,"Gym, Garden, Pool, Playground",South,Broker,Under_Construction
Khanapur,Apartment,2,3963,78.59,0.02,2017,Semi-furnished,30,20,8,3,3,Low,Yes,No,Clubhouse,East,Broker,Ready_to_Move
Narsingi,Independent House,5,686,247.95,0.36,2005,Semi-furnished,27,28,20,8,7,Medium,Yes,Yes,Playground,North,Builder,Under_Construction
Gachibowli,Apartment,5,4494,488.44,0.11,2006,Semi-furnished,5,4,19,7,9,Medium,No,No,"Pool, Garden, Playground, Gym, Clubhouse",East,Broker,Under_Construction
Banjara Hills,Villa,5,3007,497.33,0.17,2003,Unfurnished,20,27,22,10,5,Low,Yes,No,"Pool, Garden, Clubhouse, Gym",South,Owner,Under_Construction
Somajiguda,Independent House,1,4598,233.44,0.05,2006,Furnished,14,16,19,7,9,High,No,No,"Playground, Clubhouse, Pool, Garden, Gym",North,Builder,Ready_to_Move
Nanakramguda,Villa,1,3570,231.0,0.06,2020,Furnished,1,2,5,3,8,High,No,Yes,"Garden, Gym",West,Builder,Under_Construction
Raidurg,Villa,4,2186,476.18,0.22,1990,Unfurnished,2,14,35,5,7,Medium,Yes,No,"Garden, Gym, Playground, Pool",North,Builder,Ready_to_Move
Somajiguda,Apartment,3,4421,316.83,0.07,1999,Unfurnished,9,10,26,5,6,Low,No,No,"Garden, Clubhouse, Pool",West,Broker,Ready_to_Move
Raidurg,Apartment,1,3777,361.35,0.1,2010,Furnished,27,3,15,6,10,Low,No,No,"Playground, Garden",East,Builder,Ready_to_Move
Hitech City,Villa,3,864,398.21,0.46,2014,Semi-furnished,12,23,11,7,6,Low,Yes,No,"Garden, Clubhouse",West,Broker,Under_Construction
Khanapur,Apartment,5,1866,106.31,0.06,1991,Furnished,20,16,34,3,9,Medium,Yes,Yes,"Pool, Gym",North,Builder,Under_Construction
Kokapet,Apartment,4,3783,27.5,0.01,2004,Furnished,28,22,21,5,6,High,Yes,No,Clubhouse,North,Owner,Under_Construction
Hitech City,Independent House,3,3961,166.01,0.04,1999,Unfurnished,15,14,26,6,9,Low,No,Yes,Gym,North,Owner,Ready_to_Move
Film Nagar,Independent House,1,4066,125.15,0.03,2021,Semi-furnished,7,15,4,5,7,Low,No,Yes,Garden,East,Owner,Under_Construction
Khanapur,Independent House,1,4607,228.52,0.05,2003,Furnished,9,4,22,2,10,Medium,Yes,No,"Pool, Playground, Gym, Garden",North,Broker,Under_Construction
Financial District,Apartment,1,4444,259.02,0.06,2006,Furnished,24,9,19,2,10,Medium,No,No,"Gym, Playground, Garden, Clubhouse",South,Builder,Ready_to_Move
Hitech City,Villa,3,3387,95.5,0.03,2005,Unfurnished,10,11,20,9,10,Low,No,No,"Pool, Clubhouse",West,Broker,Under_Construction
Banjara Hills,Villa,5,4799,254.87,0.05,1991,Semi-furnished,11,14,34,5,1,Low,Yes,No,"Playground, Gym",South,Owner,Ready_to_Move
Film Nagar,Apartment,1,2022,362.95,0.18,2011,Semi-furnished,12,15,14,5,3,Low,No,Yes,"Pool, Garden, Gym",South,Owner,Under_Construction
Financial District,Apartment,4,1482,317.49,0.21,2009,Unfurnished,29,26,16,2,1,High,Yes,Yes,"Garden, Gym",East,Broker,Under_Construction
Kokapet,Independent House,3,4966,307.18,0.06,2000,Furnished,24,24,25,9,7,High,Yes,No,"Playground, Garden, Clubhouse, Gym, Pool",West,Broker,Under_Construction
Nanakramguda,Independent House,5,2448,217.13,0.09,2011,Furnished,21,10,14,7,4,Medium,Yes,No,"Gym, Playground, Garden",West,Broker,Ready_to_Move
Film Nagar,Independent House,3,2884,390.17,0.14,2019,Furnished,12,30,6,1,9,High,No,No,"Pool, Gym, Clubhouse, Playground",South,Owner,Ready_to_Move
Financial District,Apartment,5,3506,417.86,0.12,1992,Furnished,20,20,33,8,6,High,Yes,No,"Playground, Garden",East,Owner,Under_Construction
Begumpet,Independent House,5,4707,336.31,0.07,2020,Furnished,10,12,5,8,7,Low,Yes,No,"Garden, Clubhouse, Pool",East,Broker,Under_Construction
Film Nagar,Independent House,3,2227,120.14,0.05,1999,Furnished,26,11,26,9,8,Medium,No,No,"Clubhouse, Playground, Garden",South,Owner,Ready_to_Move
Begumpet,Independent House,3,1503,227.22,0.15,2020,Furnished,12,21,5,7,2,Medium,No,No,Garden,North,Owner,Ready_to_Move
Nanakramguda,Apartment,2,2960,298.64,0.1,2006,Semi-furnished,5,9,19,7,2,Medium,Yes,Yes,Garden,West,Owner,Ready_to_Move
Madhapur,Villa,1,1218,45.24,0.04,2007,Furnished,6,2,18,1,10,Low,Yes,Yes,"Pool, Gym",South,Broker,Ready_to_Move
Khanapur,Independent House,5,3707,342.14,0.09,2000,Semi-furnished,10,12,25,9,9,Low,Yes,Yes,"Pool, Clubhouse, Garden",East,Broker,Ready_to_Move
Jubilee Hills,Villa,2,1417,372.93,0.26,2015,Semi-furnished,6,3,10,7,1,High,No,No,"Pool, Clubhouse, Gym, Playground",East,Broker,Ready_to_Move
Somajiguda,Independent House,2,2404,128.71,0.05,2016,Unfurnished,15,5,9,10,9,Low,No,Yes,"Playground, Pool, Gym",West,Owner,Ready_to_Move
Jubilee Hills,Apartment,1,2761,493.4,0.18,2010,Semi-furnished,26,4,15,5,8,High,Yes,Yes,"Pool, Clubhouse, Garden, Gym, Playground",South,Broker,Ready_to_Move
Kavuri Hills,Apartment,3,1054,124.71,0.12,2011,Semi-furnished,30,28,14,7,8,Low,Yes,No,"Playground, Gym, Clubhouse, Pool, Garden",East,Broker,Under_Construction
Kokapet,Independent House,2,1797,334.01,0.19,1999,Unfurnished,1,6,26,9,6,Low,Yes,No,Clubhouse,East,Builder,Ready_to_Move
Narsingi,Villa,3,2035,281.21,0.14,2023,Unfurnished,10,25,2,3,9,Medium,No,No,"Pool, Clubhouse, Gym, Garden",East,Owner,Under_Construction
Hitech City,Independent House,2,1705,463.73,0.27,2013,Semi-furnished,29,8,12,4,8,Low,Yes,Yes,"Clubhouse, Garden",East,Builder,Ready_to_Move
Banjara Hills,Independent House,5,4802,455.01,0.09,2023,Furnished,22,11,2,5,10,Low,No,Yes,"Garden, Pool, Clubhouse, Gym, Playground",East,Broker,Under_Construction
Raidurg,Independent House,4,2949,95.87,0.03,2013,Semi-furnished,27,21,12,5,4,Medium,Yes,Yes,"Clubhouse, Playground, Gym",East,Owner,Under_Construction
Narsingi,Villa,3,3508,196.42,0.06,2007,Unfurnished,27,27,18,8,6,Medium,Yes,Yes,"Garden, Clubhouse, Gym",West,Owner,Under_Construction
Banjara Hills,Villa,3,1299,453.18,0.35,1998,Furnished,21,25,27,4,5,Medium,No,No,"Pool, Gym, Playground",East,Builder,Under_Construction
Financial District,Villa,3,2372,470.76,0.2,2012,Semi-furnished,14,17,13,9,10,Low,No,Yes,"Gym, Garden",West,Broker,Under_Construction
Jubilee Hills,Villa,2,1399,91.85,0.07,1990,Unfurnished,19,10,35,2,1,Low,Yes,Yes,Gym,South,Builder,Ready_to_Move
Gachibowli,Apartment,4,2405,95.24,0.04,2013,Semi-furnished,11,22,12,8,7,Low,Yes,Yes,"Pool, Garden, Gym",East,Owner,Ready_to_Move
Narsingi,Independent House,2,2698,276.53,0.1,1996,Semi-furnished,11,8,29,9,2,Low,No,No,"Clubhouse, Pool, Gym",West,Owner,Under_Construction
Hitech City,Apartment,5,2102,153.23,0.07,2018,Semi-furnished,5,29,7,5,6,Medium,Yes,No,Gym,West,Broker,Ready_to_Move
Gachibowli,Independent House,3,576,314.28,0.55,2022,Semi-furnished,26,29,3,10,9,High,Yes,No,Gym,South,Broker,Ready_to_Move
Khanapur,Apartment,2,1629,268.6,0.16,2013,Unfurnished,25,6,12,1,3,Low,Yes,Yes,Clubhouse,East,Builder,Ready_to_Move
Nanakramguda,Apartment,1,1070,385.83,0.36,2001,Furnished,21,11,24,5,4,Medium,Yes,Yes,"Pool, Playground",North,Owner,Under_Construction
Banjara Hills,Apartment,4,2148,462.62,0.22,2021,Unfurnished,0,29,4,8,9,Low,Yes,Yes,"Gym, Playground, Garden, Clubhouse, Pool",South,Broker,Under_Construction
Khanapur,Independent House,3,1885,141.6,0.08,2016,Semi-furnished,15,11,9,3,7,Medium,Yes,Yes,Playground,East,Builder,Under_Construction
Kavuri Hills,Apartment,2,4514,96.35,0.02,2016,Semi-furnished,15,1,9,6,6,High,No,Yes,"Clubhouse, Garden, Pool, Playground, Gym",West,Owner,Ready_to_Move
